country,paragraph_count,absolute_percentage
波斯,22,2.75%
拂林,13,1.63%
昆仑,8,1.00%
天竺,7,0.88%
大食,5,0.63%
摩伽陀国,5,0.63%
新罗,5,0.63%
交趾,2,0.25%
东迦毕诚国,1,0.13%
乌仗那国,1,0.13%
仍建国,1,0.13%
伽古罗国,1,0.13%
俱位国,1,0.13%
俱德建国,1,0.13%
俱振提国,1,0.13%
北天健驮罗国,1,0.13%
北虏之先索国,1,0.13%
古龟兹国,1,0.13%
吐蕃,1,0.13%
因墀国,1,0.13%
婆利,1,0.13%
婆国,1,0.13%
婆弥烂国,1,0.13%
安国,1,0.13%
安息,1,0.13%
康国,1,0.13%
延陵昔聘上国,1,0.13%
悉怛国,1,0.13%
悬渡国,1,0.13%
憔侥国,1,0.13%
扶支国,1,0.13%
拘夷国,1,0.13%
拨拔力国,1,0.13%
斯商人欲入此国,1,0.13%
昆吾国,1,0.13%
昆明国,1,0.13%
梵那衍国,1,0.13%
溉一国,1,0.13%
焉耆国,1,0.13%
犬国,1,0.13%
百济,1,0.13%
盖天西那王国,1,0.13%
真腊,1,0.13%
私诃条国,1,0.13%
经久复归招国,1,0.13%
苏都瑟匿国,1,0.13%
苏都识匿国,1,0.13%
荼国,1,0.13%
莱子国,1,0.13%
裆巾衣国,1,0.13%
西南二千里有国,1,0.13%
言婆罗门国,1,0.13%
讨袭诸国,1,0.13%
诃伽国,1,0.13%
谷伯绥之国,1,0.13%
象马兵南讨其国,1,0.13%
赡披国,1,0.13%
那国,1,0.13%
那揭罗曷国,1,0.13%
长须国,1,0.13%
阗国,1,0.13%
骨利干,1,0.13%
高句丽,1,0.13%
龟兹国,1,0.13%
