canonical_country,related_place,relation_type,direction,distance_li,evidence_source,note
交趾,交州、安南都护府,行政归属,,,注释,唐为安南都护府辖地
因墀国,南方,使者去向,南,,正文,汉武时使南方
大食,某国,方位,西南,2000,正文,大食西南二千里有国
婆弥烂国,京师,距京师,,25550,正文,原文直述去京师二万五千五百五十里
悬渡国,乌耗西,方位,,,正文,乌耗西有悬渡国
拨拔力国,海,海中位置,西南,,正文,在西南海中
新罗,朝鲜半岛东南部,现代参照,东北,,注释,在今朝鲜半岛
波斯国,拂林国,相拒,西北,,注释,西北拒拂林
波斯国,吐火罗、康国,相接,东,,注释,东与吐火罗、康国接
波斯国,京师,距京师,西,15300,注释,旧唐书西戎波斯国传
百济,朝鲜半岛西南部,现代参照,东北,,注释,在今朝鲜半岛
苏都瑟匿国,蛇碛,方位,西北,,正文,原文方位
骨利干国,翰海,方位,北,,注释,处翰海北，近贝加尔湖
高句丽,朝鲜半岛北部,现代参照,东北,,注释,在今朝鲜半岛
龟兹国,京师,距京师,西,7500,注释,旧唐书西戎龟兹国传
